#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,bspwm,"only truly CHAD TwM productivitytytytyt"
,sxhkd,"once you go sxhkd your fingers go athritis"
,dunst,"is a suckless notification system."
,betterlockscreen,"allows you to lock your computer and quickly unlock with your password."
,alacritty, "G.O.A.T. $TERMINAL ! ! !"
,thunar,"Normie file manager (GUI EWW)" 
,cheese,"Webcam"
,discord,"Chinese spyware with optional textmessaging"
A,brave,"Open source crypto mining browser"
,flameshot,"W*ndows snipping t00l"
,gimp,"Off brand photoshop"
,gparted,"11 times out of 10 you are losing your data"
,redshift,"Blue eyes hypnotize maybe"
,simplescreenrecorder,"For your lets play browser flash gaymes needs"
,lf,"the holy spirit embodying file manager just use this man"
,picom,"for your OMG HOW DOES YOUR COMPI LOOK LIKE THAT needs"
,polybar,"dont waste your time ricing this lol"
,rofi,"cheap but flashy dmenu clone"
,zsh,"GODSENT sheell"
,polkit,"manages user policies."
,ttf-linux-libertine,"provides the sans and serif fonts for KARBS."
,ttf-font-awesome,"provides extended glyph support."
,ttf-hack,"the perfect terminal font. "
,ueberzug,"enables previews in the lf file manager."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
A,nsxiv,"is a not that minimalist image viewer."
,python-pywal,"AI ML generated colors for your Rice"
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in KARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of KARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,bat,"can highlight code output and display files."
,xorg-xbacklight,"enables changing screen brightness levels."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,tdrop-git,"Terminal Scratchpad"
A,spotify,"Proprietary Music Streamer"
,clipmenu,"Clipboard management"
A,pamac-aur-git,"Pacman for the normies"
